name,lat,lon,country,score_growth_rate,score_saturation,score_competition,industry,overall_score
auditionsanté,44.44,1.43,france,,2.92504587,0.5627344727,medical devices,1.743890172
absolute imaging solutions - molecular imaging systems,36.23,-79.97,united states,,1.409205104,10,medical devices,5.704602552
audibel brasil,-23.47,-46.66,brazil,,4.538669294,1.033764068,medical devices,2.786216681
zynex medical,39.64,-104.98,united states,,1.409205104,10,medical devices,5.704602552
"shandong kangsheng medical devices co., ltd",36.18,117.12,china,,7.677079716,2.530220925,medical devices,5.103650321
ekom spol. s r.o.,48.36,17.6,slovakia,,,0.02501042101,medical devices,
crosslink orthopaedics,32.85,-79.97,united states,,1.409205104,10,medical devices,5.704602552
made in surgical,32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
essilor middle east,25.25,55.3,united arab emirates,,3.907030444,0.07919966653,medical devices,1.993115055
biomecanica,-22.27,-48.52,brazil,,4.538669294,1.033764068,medical devices,2.786216681
choicemmed india,28.6,77.2,india,,5.617063078,1.092121717,medical devices,3.354592398
kavo kerr - américa latina,-26.3,-48.83,brazil,,4.538669294,1.033764068,medical devices,2.786216681
"guangdong gt ultrasonic co.,ltd",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
ccb medical devices,5.28,100.47,malaysia,,2.8754039,0.05835764902,medical devices,1.466880774
mb medical holdings ltd,22.27,114.17,hong kong,,,0.05002084202,medical devices,
gorbel rehabilitation,42.98,-77.42,united states,,1.409205104,10,medical devices,5.704602552
vsy biotechnology,52.35,4.91,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
"kinex medical company, llc",43.01,-88.23,united states,,1.409205104,10,medical devices,5.704602552
vdw gmbh,47.8,12.53,germany,,2.830650556,0.9170487703,medical devices,1.873849663
juzo,41.13,-81.48,united states,,1.409205104,10,medical devices,5.704602552
"maysino enterprise co., ltd.",32.06,118.77,china,,7.677079716,2.530220925,medical devices,5.103650321
germedusa/allsurg inc,40.74,-73.66,united states,,1.409205104,10,medical devices,5.704602552
perspectum ltd,37.65,-122.4,united states,,1.409205104,10,medical devices,5.704602552
medicato,-15.78,-47.91,brazil,,4.538669294,1.033764068,medical devices,2.786216681
sharma surgical and orthopedic pvt ltd,22.18,73.12,india,,5.617063078,1.092121717,medical devices,3.354592398
"sinnowa medical science &technology co.,ltd",32.06,118.77,china,,7.677079716,2.530220925,medical devices,5.103650321
alpinion medical systems,37.59,126.97,south korea,,,0.04168403501,medical devices,
galuxy medical,33.01,-96.69,united states,,1.409205104,10,medical devices,5.704602552
henry schein orthodontics,33.15,-117.34,united states,,1.409205104,10,medical devices,5.704602552
daonsa implantes,25.67,-100.31,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
"hebei manlu medical device co.,ltd",39.14,117.17,china,,7.677079716,2.530220925,medical devices,5.103650321
canadian hospital specialties ltd.,43.45,-79.68,canada,,2.931045997,0.4918716132,medical devices,1.711458805
oculus surgical,50.55,8.5,germany,,2.830650556,0.9170487703,medical devices,1.873849663
dr. clo türkiye,40.99,29.13,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
titans group (we manufacture disposable exam gloves),33.85,-118.06,united states,,1.409205104,10,medical devices,5.704602552
comeg medical technologies,43.17,5.6,france,,2.92504587,0.5627344727,medical devices,1.743890172
"shenzhen truein health technology co.,ltd.",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
terumo conosur,-33.45,-70.64,chile,,4.027964811,0.2209253856,medical devices,2.124445098
haywood vocational opportunities,35.48,-82.98,united states,,1.409205104,10,medical devices,5.704602552
robonik india pvt ltd.,19.33,73.25,india,,5.617063078,1.092121717,medical devices,3.354592398
novax®freeform spectacle lenses,41.01,28.94,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
"fitzsimmons surgical supply, inc.",41.57,-87.78,united states,,1.409205104,10,medical devices,5.704602552
binnawaz (pvt) limited,33.6,73.06,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
alicn medical (shenzhen) inc.,22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
"accutec blades, inc.",38.2,-79,united states,,1.409205104,10,medical devices,5.704602552
eurociencia panamá,8.99,-79.51,panama,,4.694500327,0.01667361401,medical devices,2.355586971
rayner,50.8,-0.36,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
itl biomedical,-35.28,149.12,australia,,2.434228884,0.116715298,medical devices,1.275472091
visco vision inc.,24.81,120.96,taiwan,,,0.1292205085,medical devices,
allmasks,23.59,116.67,china,,7.677079716,2.530220925,medical devices,5.103650321
ambulancias gredos sl,40.65,-4.69,spain,,3.317899351,0.6252605252,medical devices,1.971579938
micro,40.49,-74.48,united states,,1.409205104,10,medical devices,5.704602552
ulrich medical,48.4,10,germany,,2.830650556,0.9170487703,medical devices,1.873849663
ormco brasil,-26.3,-48.83,brazil,,4.538669294,1.033764068,medical devices,2.786216681
nateen,24.91,118.58,china,,7.677079716,2.530220925,medical devices,5.103650321
dupatri hospitalar,-23.96,-46.33,brazil,,4.538669294,1.033764068,medical devices,2.786216681
sofie biosciences,34.02,-118.39,united states,,1.409205104,10,medical devices,5.704602552
spofadental a.s.,50.43,15.35,czechia,,,0.05418924552,medical devices,
5starmedical corp,42.91,-76.79,united states,,1.409205104,10,medical devices,5.704602552
transportes viana sl,41.65,-4.72,spain,,3.317899351,0.6252605252,medical devices,1.971579938
solesis medical technologies,40.37,-75.29,united states,,1.409205104,10,medical devices,5.704602552
osteomed,32.95,-96.83,united states,,1.409205104,10,medical devices,5.704602552
biotronik schweiz ag,48.66,11.48,germany,,2.830650556,0.9170487703,medical devices,1.873849663
northern digital inc. (ndi),43.46,-80.51,canada,,2.931045997,0.4918716132,medical devices,1.711458805
united surgical,41.13,-85.12,united states,,1.409205104,10,medical devices,5.704602552
"the fred hollows intraocular lens laboratory (fh iol lab), tilganga eye centre",27.7,85.32,nepal,,8.228343976,0.008336807003,medical devices,4.118340392
"wayson medical co ., ltd",23.05,113.51,china,,7.677079716,2.530220925,medical devices,5.103650321
tecmed africa 2.0,-25.98,28.12,south africa,,4.50425314,0.1125468945,medical devices,2.308400017
i.c. medical,33.44,-112.07,united states,,1.409205104,10,medical devices,5.704602552
ormco europe,52.15,5.38,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
"zeltiq aesthetics, inc.",37.66,-121.87,united states,,1.409205104,10,medical devices,5.704602552
al hodaithy international group,24.68,46.72,saudi arabia,,4.534072729,0.1208837015,medical devices,2.327478215
ordamed,52.08,4.3,netherlands,,2.534361494,0.3126302626,medical devices,1.423495878
softclinic software,23.02,72.58,india,,5.617063078,1.092121717,medical devices,3.354592398
venus concept,43.7,-79.41,canada,,2.931045997,0.4918716132,medical devices,1.711458805
"shandong mingtai medical device co., ltd",35.4,116.58,china,,7.677079716,2.530220925,medical devices,5.103650321
amplitude surgical,44.92,4.89,france,,2.92504587,0.5627344727,medical devices,1.743890172
ccc medical devices,-34.85,-56.17,uruguay,,3.231184517,0.03751563151,medical devices,1.634350074
immunodiagnostic systems (ids),54.91,-1.56,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
biohorizons,33.52,-86.8,united states,,1.409205104,10,medical devices,5.704602552
"fudakang industrial co., ltd.",23.01,113.74,china,,7.677079716,2.530220925,medical devices,5.103650321
"ambulanc(shenzhen) tech.co., ltd.",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
truhearing,40.52,-111.86,united states,,1.409205104,10,medical devices,5.704602552
iba dosimetry,49.35,11.24,germany,,2.830650556,0.9170487703,medical devices,1.873849663
galt medical,32.91,-96.63,united states,,1.409205104,10,medical devices,5.704602552
leaf.healthcare,42.47,-83.22,united states,,1.409205104,10,medical devices,5.704602552
emsi,27.94,-82.45,united states,,1.409205104,10,medical devices,5.704602552
gamanuclear ltda.,3.43,-76.52,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
"beijing rongrui - century scie . & tech.co ., ltd.",39.92,116.38,china,,7.677079716,2.530220925,medical devices,5.103650321
shamir portugal,41.35,-8.74,portugal,,3.721916237,0.05418924552,medical devices,1.888052741
arrowhead dental lab,40.59,-111.88,united states,,1.409205104,10,medical devices,5.704602552
pooyandegan rah saadat,35.69,51.42,iran,,,0.141725719,medical devices,
"hunan techray medical technology co., ltd",28.19,112.97,china,,7.677079716,2.530220925,medical devices,5.103650321
"chongqing kanghua ruiming s&t co., ltd.",29.56,106.55,china,,7.677079716,2.530220925,medical devices,5.103650321
biocomposites ltd,53,-2.28,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
anthogyr sas,45.94,6.63,france,,2.92504587,0.5627344727,medical devices,1.743890172
"yeecon medical equipment industrial co., ltd.",23.11,113.25,china,,7.677079716,2.530220925,medical devices,5.103650321
travis medical sales corp.,30.26,-97.74,united states,,1.409205104,10,medical devices,5.704602552
grupo getne,40.4,-3.69,spain,,3.317899351,0.6252605252,medical devices,1.971579938
labmetro saúde :: unidade técnica de proteção radiológica,38.71,-9.29,portugal,,3.721916237,0.05418924552,medical devices,1.888052741
tecnología y diseño industrial,20.72,-103.38,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
cepheid ab,59.36,18,sweden,,2.304630783,0.1375573155,medical devices,1.221094049
intuitive fosun,31.22,121.45,china,,7.677079716,2.530220925,medical devices,5.103650321
analytical instruments (pvt) ltd,6.93,79.84,sri lanka,,7.081799002,0.0125052105,medical devices,3.547152106
gn hearing a/s,55.73,12.36,denmark,,1.476096221,0.1125468945,medical devices,0.7943215576
clínica los fresnos,-7.16,-78.5,peru,,5.610056712,0.1458941226,medical devices,2.877975417
plasti lab,33.89,35.5,lebanon,,4.862735588,0.01667361401,medical devices,2.439704601
"conformis, inc.",42.55,-71.26,united states,,1.409205104,10,medical devices,5.704602552
precision wire components,45.38,-122.76,united states,,1.409205104,10,medical devices,5.704602552
zwt graz,47.06,15.45,austria,,3.093696756,0.08336807003,medical devices,1.588532413
"lumitex, inc.",41.31,-81.83,united states,,1.409205104,10,medical devices,5.704602552
moore medical,41.72,-72.84,united states,,1.409205104,10,medical devices,5.704602552
classic ventcare,34.13,-118.77,united states,,1.409205104,10,medical devices,5.704602552
cascade dafo,48.84,-122.58,united states,,1.409205104,10,medical devices,5.704602552
remington medical inc.,34.07,-84.29,united states,,1.409205104,10,medical devices,5.704602552
bio safety supplies,33.53,-112.18,united states,,1.409205104,10,medical devices,5.704602552
long life surgical industries,32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
greiner bio-one,34.98,-80.54,united states,,1.409205104,10,medical devices,5.704602552
hi-tech medics private limited,26.83,80.92,india,,5.617063078,1.092121717,medical devices,3.354592398
xtant medical,45.77,-111.17,united states,,1.409205104,10,medical devices,5.704602552
ita salud mental,41.38,2.15,spain,,3.317899351,0.6252605252,medical devices,1.971579938
alabama oncology,33.52,-86.8,united states,,1.409205104,10,medical devices,5.704602552
bepc consulting,31.46,-100.43,united states,,1.409205104,10,medical devices,5.704602552
"hubei kimsoul industrial co., ltd",30.38,113.4,china,,7.677079716,2.530220925,medical devices,5.103650321
"definiens, the tissue phenomics company",48.13,11.57,germany,,2.830650556,0.9170487703,medical devices,1.873849663
servona gmbh,50.81,7.16,germany,,2.830650556,0.9170487703,medical devices,1.873849663
ecomed global,51.51,-0.09,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
borden chemical inc,43.17,-88.11,united states,,1.409205104,10,medical devices,5.704602552
cefdappe.com,39.57,-104.87,united states,,1.409205104,10,medical devices,5.704602552
apramed equipamentos oftalmológicos,-21.9,-47.87,brazil,,4.538669294,1.033764068,medical devices,2.786216681
laboratorios ramallo sa,-33.48,-60,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
clearcorrect,30.5,-97.67,united states,,1.409205104,10,medical devices,5.704602552
conexao sistemas de protese,-23.4,-46.33,brazil,,4.538669294,1.033764068,medical devices,2.786216681
"beijing ottora medical co., ltd",39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
eargo,37.33,-121.89,united states,,1.409205104,10,medical devices,5.704602552
"beijing sincoheren science & technology development co.,ltd",39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
sun nuclear corporation,28.08,-80.6,united states,,1.409205104,10,medical devices,5.704602552
bailida,24.14,120.68,taiwan,,,0.1292205085,medical devices,
"hobson & motzer, inc.",41.48,-72.68,united states,,1.409205104,10,medical devices,5.704602552
nipro medical corporation ecuador,-0.21,-78.5,ecuador,,5.886653693,0.07919966653,medical devices,2.98292668
agd biomedicals (p) ltd.,19.07,72.88,india,,5.617063078,1.092121717,medical devices,3.354592398
"nubenco enterprises, inc.",40.94,-74.07,united states,,1.409205104,10,medical devices,5.704602552
natus hearing & balance north america,42.03,-88.08,united states,,1.409205104,10,medical devices,5.704602552
boukhari prince medical,37.27,9.87,tunisia,,5.466703501,0.0125052105,medical devices,2.739604356
vivid imaging,36.97,-76.42,united states,,1.409205104,10,medical devices,5.704602552
restorative care of america,27.77,-82.67,united states,,1.409205104,10,medical devices,5.704602552
"shenzhen sontu medical imaging equipment co., ltd.",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
custom medical supplies,38.96,-77.38,united states,,1.409205104,10,medical devices,5.704602552
rochester medical,43.85,-92.48,united states,,1.409205104,10,medical devices,5.704602552
dynatronics,40.76,-111.89,united states,,1.409205104,10,medical devices,5.704602552
safety medical technology,34.68,112.45,china,,7.677079716,2.530220925,medical devices,5.103650321
cae healthcare,27.33,-82.53,united states,,1.409205104,10,medical devices,5.704602552
"mizuho orthopedic systems, inc",37.59,-122.01,united states,,1.409205104,10,medical devices,5.704602552
genefront pharma,17.4,78.48,india,,5.617063078,1.092121717,medical devices,3.354592398
kmc systems inc.,42.86,-71.49,united states,,1.409205104,10,medical devices,5.704602552
pep lacey,41.16,-73.2,united states,,1.409205104,10,medical devices,5.704602552
nexamo,30.67,76.72,india,,5.617063078,1.092121717,medical devices,3.354592398
k2m,39.11,-77.56,united states,,1.409205104,10,medical devices,5.704602552
alpha source group,43.03,-87.9,united states,,1.409205104,10,medical devices,5.704602552
comparta eps,7.13,-73.13,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
semedic centro médico,-2.19,-79.88,ecuador,,5.886653693,0.07919966653,medical devices,2.98292668
aiva instrumedic,32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
benlan inc.,43.45,-79.68,canada,,2.931045997,0.4918716132,medical devices,1.711458805
nikon instruments,40.79,-73.41,united states,,1.409205104,10,medical devices,5.704602552
aliada centro oncológico,-12.04,-77.02,peru,,5.610056712,0.1458941226,medical devices,2.877975417
accelerate diagnostics,32.22,-110.92,united states,,1.409205104,10,medical devices,5.704602552
longten investment holding group,20.04,110.34,china,,7.677079716,2.530220925,medical devices,5.103650321
grupo policlinica,38.91,1.43,spain,,3.317899351,0.6252605252,medical devices,1.971579938
mimo llc,41.8,-88.01,united states,,1.409205104,10,medical devices,5.704602552
ilife medical devices private limited,28.6,77.2,india,,5.617063078,1.092121717,medical devices,3.354592398
avantmed,-0.21,-78.5,ecuador,,5.886653693,0.07919966653,medical devices,2.98292668
robodoc,37.54,-121.98,united states,,1.409205104,10,medical devices,5.704602552
roche diabetes care chile,-33.36,-70.51,chile,,4.027964811,0.2209253856,medical devices,2.124445098
bmm weston ltd.,51.31,0.9,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
auto control médical an a&d company,43.57,-79.65,canada,,2.931045997,0.4918716132,medical devices,1.711458805
med romania,44.43,26.1,romania,,4.975226757,0.04168403501,medical devices,2.508455396
"donatelle plastics, inc.",45.06,-93.2,united states,,1.409205104,10,medical devices,5.704602552
johns hopkins pharmaquip inc,39.29,-76.61,united states,,1.409205104,10,medical devices,5.704602552
arcroyal (an owens & minor company),53.72,-6.87,ireland,,0,0.1375573155,medical devices,0.06877865777
,31.22,121.45,china,,7.677079716,2.530220925,medical devices,5.103650321
pichincha humana,-0.21,-78.5,ecuador,,5.886653693,0.07919966653,medical devices,2.98292668
home health products group,49.67,6.12,luxembourg,,4.483192151,0.008336807003,medical devices,2.245764479
mms - a medical supply company,38.76,-90.46,united states,,1.409205104,10,medical devices,5.704602552
samtronic,-23.47,-46.66,brazil,,4.538669294,1.033764068,medical devices,2.786216681
lotus radiopaque dyes and inks,19.87,75.34,india,,5.617063078,1.092121717,medical devices,3.354592398
lifeline diagnostics supplies inc.,14.69,121.08,philippines,,5.768327874,0.07503126303,medical devices,2.921679568
arni medica™,17.38,78.45,india,,5.617063078,1.092121717,medical devices,3.354592398
msei,45.42,-122.67,united states,,1.409205104,10,medical devices,5.704602552
trinity biotech,52.97,-6.04,ireland,,0,0.1375573155,medical devices,0.06877865777
specialty silicone fabricators,33.74,-117.82,united states,,1.409205104,10,medical devices,5.704602552
tec100,18.32,-102.37,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
edlo itm s/a,-29.92,-51.17,brazil,,4.538669294,1.033764068,medical devices,2.786216681
i med laboratories company limited,13.75,100.5,thailand,,6.219233925,0.01667361401,medical devices,3.117953769
theragenics corporation,34.12,-84,united states,,1.409205104,10,medical devices,5.704602552
"sonka medical technology co,.ltd",24.91,112.38,china,,7.677079716,2.530220925,medical devices,5.103650321
vis lighting,28.19,112.97,china,,7.677079716,2.530220925,medical devices,5.103650321
sfm medical devices gmbh,50.26,9.3,germany,,2.830650556,0.9170487703,medical devices,1.873849663
megabag,33.59,-7.61,morocco,,6.360777137,0.04585243852,medical devices,3.203314788
westone laboratories,38.83,-104.82,united states,,1.409205104,10,medical devices,5.704602552
samsung healthcare ukraine,47.28,37.92,ukraine,,7.470704993,0.004168403501,medical devices,3.737436698
medicien,-33.36,-70.51,chile,,4.027964811,0.2209253856,medical devices,2.124445098
germiphene,43.13,-80.26,canada,,2.931045997,0.4918716132,medical devices,1.711458805
"autocam medical devices, pllc",42.86,-85.64,united states,,1.409205104,10,medical devices,5.704602552
"nonin medical, inc.",45.01,-93.45,united states,,1.409205104,10,medical devices,5.704602552
medical device manufacturing sa,-26.2,28.04,south africa,,4.50425314,0.1125468945,medical devices,2.308400017
brasseler usa,32.08,-81.09,united states,,1.409205104,10,medical devices,5.704602552
junopacific,45.19,-93.38,united states,,1.409205104,10,medical devices,5.704602552
brightwake ltd,52.96,-1.16,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
"klarity medical & equipment co., ltd.",23.11,113.25,china,,7.677079716,2.530220925,medical devices,5.103650321
imex medical group,-27.57,-48.65,brazil,,4.538669294,1.033764068,medical devices,2.786216681
apyx medical,27.96,-82.8,united states,,1.409205104,10,medical devices,5.704602552
touchpoint medical,28.19,-82.59,united states,,1.409205104,10,medical devices,5.704602552
hospitalar soluções em saúde,-22.23,-45.93,brazil,,4.538669294,1.033764068,medical devices,2.786216681
hoveround corporation,27.33,-82.53,united states,,1.409205104,10,medical devices,5.704602552
mortara instrument,43.03,-87.9,united states,,1.409205104,10,medical devices,5.704602552
"sinolinks medical innovation, inc.",31.78,119.96,china,,7.677079716,2.530220925,medical devices,5.103650321
aviton care ltd,22.31,114.18,hong kong,,,0.05002084202,medical devices,
dinova medtech,30.29,120.16,china,,7.677079716,2.530220925,medical devices,5.103650321
levram lifesciences pvt. ltd.,33.79,74.06,india,,5.617063078,1.092121717,medical devices,3.354592398
"northeast electronics, inc.",42.88,-71.27,united states,,1.409205104,10,medical devices,5.704602552
teoxane laboratories geneva,46.2,6.12,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
"oral arts dental laboratories, inc",34.73,-86.58,united states,,1.409205104,10,medical devices,5.704602552
levtradeza,-25.7,28.25,south africa,,4.50425314,0.1125468945,medical devices,2.308400017
bahadir tibbi alet cihaz ve insaat makina sanayi ve ticaret a s,41.53,34.72,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
deka research & development,42.99,-71.45,united states,,1.409205104,10,medical devices,5.704602552
"jiangsu kangyou medical instrument co.,ltd",31.78,119.96,china,,7.677079716,2.530220925,medical devices,5.103650321
"coastline international, inc.",32.71,-117.15,united states,,1.409205104,10,medical devices,5.704602552
cendres+métaux sa,47.14,7.25,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
dentimagen chile,-33.45,-70.64,chile,,4.027964811,0.2209253856,medical devices,2.124445098
"martech medical products, inc.",40.27,-75.38,united states,,1.409205104,10,medical devices,5.704602552
precipart,40.73,-73.44,united states,,1.409205104,10,medical devices,5.704602552
fisb,-12.04,-77.02,peru,,5.610056712,0.1458941226,medical devices,2.877975417
jamjoom medical industries co. ltd.,21.54,39.19,saudi arabia,,4.534072729,0.1208837015,medical devices,2.327478215
boreal cobertura de salud,-26.82,-65.22,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
"cranial technologies, inc.",33.41,-111.9,united states,,1.409205104,10,medical devices,5.704602552
svas biosana s.p.a.,40.83,14.5,italy,,3.351028959,0.7669862443,medical devices,2.059007602
"shenzhen med-link electronics tech co.,ltd",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
hemocue america,33.91,-117.9,united states,,1.409205104,10,medical devices,5.704602552
"yarward electronics co., ltd.",36.79,118.06,china,,7.677079716,2.530220925,medical devices,5.103650321
"hangzhou qingyuan medical equipment technology co.,ltd.",30.29,120.16,china,,7.677079716,2.530220925,medical devices,5.103650321
arjo inc,41.98,-88.07,united states,,1.409205104,10,medical devices,5.704602552
audionova italia,45.46,9.19,italy,,3.351028959,0.7669862443,medical devices,2.059007602
laboratoire de prothese dentaire,48.85,2.34,france,,2.92504587,0.5627344727,medical devices,1.743890172
autocam medical,42.86,-85.64,united states,,1.409205104,10,medical devices,5.704602552
aesthetic medical beauty equipments with fda approved,39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
bioserenity,48.85,2.34,france,,2.92504587,0.5627344727,medical devices,1.743890172
"direct flow medical®, inc.",38.44,-122.71,united states,,1.409205104,10,medical devices,5.704602552
sanatorio modelo burzaco,-34.82,-58.39,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
scican,43.7,-79.41,canada,,2.931045997,0.4918716132,medical devices,1.711458805
medicrea,45.74,4.84,france,,2.92504587,0.5627344727,medical devices,1.743890172
"nanchang biotek medical technology co., ltd.",28.68,115.85,china,,7.677079716,2.530220925,medical devices,5.103650321
allard usa,40.89,-74.51,united states,,1.409205104,10,medical devices,5.704602552
emsar - equipment management service and repair,39.44,-83.82,united states,,1.409205104,10,medical devices,5.704602552
makers for life,47.21,-1.55,france,,2.92504587,0.5627344727,medical devices,1.743890172
fresenius medical care middle east,25.25,55.3,united arab emirates,,3.907030444,0.07919966653,medical devices,1.993115055
bpl medical technologies pvt. ltd,12.98,77.58,india,,5.617063078,1.092121717,medical devices,3.354592398
hospitech-medical,35.69,51.42,iran,,,0.141725719,medical devices,
bardissi medical,30.06,31.24,egypt,,,0.05002084202,medical devices,
coastal life technologies,29.42,-98.49,united states,,1.409205104,10,medical devices,5.704602552
alvimedica,41.29,28.45,turkey,,4.970409757,0.3834931221,medical devices,2.67695144
miraclus orthotech private limited,23.02,72.58,india,,5.617063078,1.092121717,medical devices,3.354592398
convatec (denmark),55.67,12.56,denmark,,1.476096221,0.1125468945,medical devices,0.7943215576
betahealthcare products pvt ltd,20.53,73.17,india,,5.617063078,1.092121717,medical devices,3.354592398
smartpractice,33.44,-112.07,united states,,1.409205104,10,medical devices,5.704602552
innocare optoelectronics corp. 睿生光電,23,120.18,taiwan,,,0.1292205085,medical devices,
atlanta dental supply,34,-84.14,united states,,1.409205104,10,medical devices,5.704602552
chabloz orthopédie,43.6,1.44,france,,2.92504587,0.5627344727,medical devices,1.743890172
keystone industries,39.82,-75.28,united states,,1.409205104,10,medical devices,5.704602552
biotechnics danmark a/s,55.93,12.5,denmark,,1.476096221,0.1125468945,medical devices,0.7943215576
pentax medical (penang) sdn bhd,5.29,100.26,malaysia,,2.8754039,0.05835764902,medical devices,1.466880774
zimmer biomet india (official),28.46,77.02,india,,5.617063078,1.092121717,medical devices,3.354592398
"alpha source, inc.",43.03,-87.9,united states,,1.409205104,10,medical devices,5.704602552
venus concept italy srl,45.77,12.23,italy,,3.351028959,0.7669862443,medical devices,2.059007602
sports clinic,19.39,-99.15,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
nueva clínica internacional,-0.21,-78.5,ecuador,,5.886653693,0.07919966653,medical devices,2.98292668
expoóptica,40.4,-3.69,spain,,3.317899351,0.6252605252,medical devices,1.971579938
"zhejiang concern biological technology co., ltd.",29.31,120.07,china,,7.677079716,2.530220925,medical devices,5.103650321
arabian international healthcare holding co. (tibbiyah),24.68,46.72,saudi arabia,,4.534072729,0.1208837015,medical devices,2.327478215
"wisconsin vision associates, inc. (wva)",42.67,-88.27,united states,,1.409205104,10,medical devices,5.704602552
"trelleborg sealing solutions delano, llc",45.04,-93.78,united states,,1.409205104,10,medical devices,5.704602552
fona dental,48.15,17.11,slovakia,,,0.02501042101,medical devices,
rehab medical,39.76,-86.15,united states,,1.409205104,10,medical devices,5.704602552
alerta médica,-12.04,-77.02,peru,,5.610056712,0.1458941226,medical devices,2.877975417
haselmeier,47.42,9.37,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
hospital de la baxada dra. teresa ratto,-31.73,-60.52,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
srr surgical company,32.49,74.53,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
et healthcare,37.44,-122.14,united states,,1.409205104,10,medical devices,5.704602552
smith-sterling dental laboratories,25.81,-80.35,united states,,1.409205104,10,medical devices,5.704602552
orteq sports medicine,39.88,-83.44,united states,,1.409205104,10,medical devices,5.704602552
"therapy support, inc.",37.21,-93.29,united states,,1.409205104,10,medical devices,5.704602552
thuasne deutschland gmbh,52.5,9.85,germany,,2.830650556,0.9170487703,medical devices,1.873849663
vc999 medical,47.38,9.27,switzerland,,1.452147924,0.3668195081,medical devices,0.9094837162
sgrt community,51.5,-0.12,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
"guangdong kangshen medical technology co.,ltd.",23.02,113.13,china,,7.677079716,2.530220925,medical devices,5.103650321
fengh medical,31.22,121.45,china,,7.677079716,2.530220925,medical devices,5.103650321
sanatorio 9 de julio sa,-26.82,-65.22,argentina,,4.83545247,0.2000833681,medical devices,2.517767919
southern implants ibérica,41.38,2.15,spain,,3.317899351,0.6252605252,medical devices,1.971579938
industrias medicas sampedro,6.15,-75.64,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
carelinc medical,42.96,-85.66,united states,,1.409205104,10,medical devices,5.704602552
"zhengzhou wanshenshan healthcare ppe co., ltd.",34.75,113.64,china,,7.677079716,2.530220925,medical devices,5.103650321
cardiac science,43.06,-89.07,united states,,1.409205104,10,medical devices,5.704602552
"sincoheren medical & aesthetic co.,ltd.",39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
"american national manufacturing, inc.",33.87,-117.56,united states,,1.409205104,10,medical devices,5.704602552
salusen med,34.05,-118.24,united states,,1.409205104,10,medical devices,5.704602552
midwest orthotic & technology center,41.68,-86.25,united states,,1.409205104,10,medical devices,5.704602552
"beijing forimi s & t co., ltd",39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
"outset medical, inc.",37.33,-121.89,united states,,1.409205104,10,medical devices,5.704602552
renaissance laser,43.78,11.24,italy,,3.351028959,0.7669862443,medical devices,2.059007602
"zaidtek electronic technology (xiamen) co., ltd.",24.47,118.08,china,,7.677079716,2.530220925,medical devices,5.103650321
jocomask,20.72,-103.38,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
us endoscopy,41.66,-81.33,united states,,1.409205104,10,medical devices,5.704602552
"shenzhen beacon display technology co., ltd.",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
